General Index,Voltage,Sensor
369,318,fotorresistencia_data.csv
370,318,fotorresistencia_data.csv
371,318,fotorresistencia_data.csv
372,318,fotorresistencia_data.csv
373,318,fotorresistencia_data.csv
374,318,fotorresistencia_data.csv
375,318,fotorresistencia_data.csv
376,318,fotorresistencia_data.csv
377,318,fotorresistencia_data.csv
378,318,fotorresistencia_data.csv
379,318,fotorresistencia_data.csv
380,318,fotorresistencia_data.csv
381,317,fotorresistencia_data.csv
382,317,fotorresistencia_data.csv
383,316,fotorresistencia_data.csv
384,317,fotorresistencia_data.csv
385,317,fotorresistencia_data.csv
386,317,fotorresistencia_data.csv
387,317,fotorresistencia_data.csv
388,317,fotorresistencia_data.csv
389,318,fotorresistencia_data.csv
390,318,fotorresistencia_data.csv
391,317,fotorresistencia_data.csv
392,317,fotorresistencia_data.csv
393,317,fotorresistencia_data.csv
394,317,fotorresistencia_data.csv
395,318,fotorresistencia_data.csv
396,319,fotorresistencia_data.csv
397,319,fotorresistencia_data.csv
398,319,fotorresistencia_data.csv
399,319,fotorresistencia_data.csv
400,319,fotorresistencia_data.csv
401,319,fotorresistencia_data.csv
402,319,fotorresistencia_data.csv
403,319,fotorresistencia_data.csv
404,319,fotorresistencia_data.csv
405,319,fotorresistencia_data.csv
406,368,fotorresistencia_data.csv
407,325,fotorresistencia_data.csv
408,341,fotorresistencia_data.csv
409,454,fotorresistencia_data.csv
410,728,fotorresistencia_data.csv
411,855,fotorresistencia_data.csv
412,949,fotorresistencia_data.csv
413,982,fotorresistencia_data.csv
414,978,fotorresistencia_data.csv
415,967,fotorresistencia_data.csv
416,968,fotorresistencia_data.csv
417,953,fotorresistencia_data.csv
418,950,fotorresistencia_data.csv
419,951,fotorresistencia_data.csv
420,951,fotorresistencia_data.csv
421,962,fotorresistencia_data.csv
422,961,fotorresistencia_data.csv
423,987,fotorresistencia_data.csv
424,987,fotorresistencia_data.csv
425,982,fotorresistencia_data.csv
426,989,fotorresistencia_data.csv
427,997,fotorresistencia_data.csv
428,988,fotorresistencia_data.csv
429,972,fotorresistencia_data.csv
430,970,fotorresistencia_data.csv
431,969,fotorresistencia_data.csv
432,967,fotorresistencia_data.csv
433,960,fotorresistencia_data.csv
434,960,fotorresistencia_data.csv
435,958,fotorresistencia_data.csv
436,957,fotorresistencia_data.csv
437,957,fotorresistencia_data.csv
438,957,fotorresistencia_data.csv
439,955,fotorresistencia_data.csv
440,953,fotorresistencia_data.csv
441,946,fotorresistencia_data.csv
442,944,fotorresistencia_data.csv
443,944,fotorresistencia_data.csv
444,945,fotorresistencia_data.csv
445,943,fotorresistencia_data.csv
446,942,fotorresistencia_data.csv
447,936,fotorresistencia_data.csv
448,944,fotorresistencia_data.csv
449,943,fotorresistencia_data.csv
450,942,fotorresistencia_data.csv
451,940,fotorresistencia_data.csv
452,940,fotorresistencia_data.csv
453,940,fotorresistencia_data.csv
454,941,fotorresistencia_data.csv
455,940,fotorresistencia_data.csv
456,948,fotorresistencia_data.csv
457,948,fotorresistencia_data.csv
458,941,fotorresistencia_data.csv
459,943,fotorresistencia_data.csv
460,943,fotorresistencia_data.csv
461,938,fotorresistencia_data.csv
462,940,fotorresistencia_data.csv
463,942,fotorresistencia_data.csv
464,943,fotorresistencia_data.csv
465,943,fotorresistencia_data.csv
466,943,fotorresistencia_data.csv
467,933,fotorresistencia_data.csv
468,928,fotorresistencia_data.csv
469,932,fotorresistencia_data.csv
470,931,fotorresistencia_data.csv
471,929,fotorresistencia_data.csv
472,938,fotorresistencia_data.csv
473,933,fotorresistencia_data.csv
474,937,fotorresistencia_data.csv
475,933,fotorresistencia_data.csv
476,943,fotorresistencia_data.csv
477,940,fotorresistencia_data.csv
478,949,fotorresistencia_data.csv
479,954,fotorresistencia_data.csv
480,953,fotorresistencia_data.csv
481,984,fotorresistencia_data.csv
482,1009,fotorresistencia_data.csv
483,1022,fotorresistencia_data.csv
484,1024,fotorresistencia_data.csv
485,1024,fotorresistencia_data.csv
486,1024,fotorresistencia_data.csv
487,1024,fotorresistencia_data.csv
488,1024,fotorresistencia_data.csv
489,1024,fotorresistencia_data.csv
490,1020,fotorresistencia_data.csv
491,1021,fotorresistencia_data.csv
492,1018,fotorresistencia_data.csv
493,1018,fotorresistencia_data.csv
494,1017,fotorresistencia_data.csv
495,1018,fotorresistencia_data.csv
496,1015,fotorresistencia_data.csv
497,1016,fotorresistencia_data.csv
498,1015,fotorresistencia_data.csv
499,1015,fotorresistencia_data.csv
500,1005,fotorresistencia_data.csv
501,1018,fotorresistencia_data.csv
502,1024,fotorresistencia_data.csv
503,1024,fotorresistencia_data.csv
504,1024,fotorresistencia_data.csv
505,1023,fotorresistencia_data.csv
506,1018,fotorresistencia_data.csv
507,1020,fotorresistencia_data.csv
508,1021,fotorresistencia_data.csv
509,1021,fotorresistencia_data.csv
510,1022,fotorresistencia_data.csv
511,1021,fotorresistencia_data.csv
512,1022,fotorresistencia_data.csv
513,1022,fotorresistencia_data.csv
514,1021,fotorresistencia_data.csv
515,1021,fotorresistencia_data.csv
516,1022,fotorresistencia_data.csv
517,1018,fotorresistencia_data.csv
518,1022,fotorresistencia_data.csv
519,1022,fotorresistencia_data.csv
520,1022,fotorresistencia_data.csv
521,1022,fotorresistencia_data.csv
522,1021,fotorresistencia_data.csv
523,1016,fotorresistencia_data.csv
524,1013,fotorresistencia_data.csv
525,1016,fotorresistencia_data.csv
526,1018,fotorresistencia_data.csv
527,1017,fotorresistencia_data.csv
528,1016,fotorresistencia_data.csv
529,1023,fotorresistencia_data.csv
530,1024,fotorresistencia_data.csv
531,1022,fotorresistencia_data.csv
532,1013,fotorresistencia_data.csv
533,1011,fotorresistencia_data.csv
534,1018,fotorresistencia_data.csv
535,1020,fotorresistencia_data.csv
536,1018,fotorresistencia_data.csv
537,1016,fotorresistencia_data.csv
538,1016,fotorresistencia_data.csv
539,1012,fotorresistencia_data.csv
540,1009,fotorresistencia_data.csv
541,1011,fotorresistencia_data.csv
542,1008,fotorresistencia_data.csv
543,1008,fotorresistencia_data.csv
544,1002,fotorresistencia_data.csv
545,999,fotorresistencia_data.csv
546,1006,fotorresistencia_data.csv
547,1015,fotorresistencia_data.csv
548,1024,fotorresistencia_data.csv
549,1024,fotorresistencia_data.csv
550,1024,fotorresistencia_data.csv
551,1011,fotorresistencia_data.csv
552,1017,fotorresistencia_data.csv
553,1013,fotorresistencia_data.csv
554,1009,fotorresistencia_data.csv
555,1006,fotorresistencia_data.csv
556,1005,fotorresistencia_data.csv
557,1002,fotorresistencia_data.csv
558,1003,fotorresistencia_data.csv
559,999,fotorresistencia_data.csv
560,1003,fotorresistencia_data.csv
561,999,fotorresistencia_data.csv
562,996,fotorresistencia_data.csv
563,986,fotorresistencia_data.csv
564,796,fotorresistencia_data.csv
565,618,fotorresistencia_data.csv
566,681,fotorresistencia_data.csv
567,686,fotorresistencia_data.csv
568,699,fotorresistencia_data.csv
569,691,fotorresistencia_data.csv
570,693,fotorresistencia_data.csv
571,705,fotorresistencia_data.csv
572,710,fotorresistencia_data.csv
573,713,fotorresistencia_data.csv
